,Primeras Dosis Diarias,Primeras Dosis Acumulado,"Primeras Dosis Acumulado, % poblacion",Segundas y Janssen Diarias,Segundas y Janssen Acumulada,"Segundas y Janssen Acumulado, % Poblacion",Dosis Todas Diarias,Dosis Todas Acumuladas
2021-05-19,49000.0,951833,8.2,2540.0,294279.0,2.5,51540.0,1246112.0
2021-05-20,52780.0,1004613,8.6,2309.0,296588.0,2.6,55089.0,1301201.0
2021-05-21,53822.0,1058435,9.1,2022.0,298610.0,2.6,55844.0,1357045.0
2021-05-22,13247.0,1071682,9.2,924.0,299534.0,2.6,14171.0,1371216.0
2021-05-23,4442.0,1076124,9.3,836.0,300370.0,2.6,5278.0,1376494.0
2021-05-24,36688.0,1112812,9.6,2438.0,302808.0,2.6,39126.0,1415620.0
2021-05-25,32295.0,1145107,9.9,9729.0,312537.0,2.7,42024.0,1457644.0
2021-05-26,40618.0,1185725,10.2,13695.0,326232.0,2.8,54313.0,1511957.0
2021-05-27,38588.0,1224313,10.5,13804.0,340036.0,2.9,52392.0,1564349.0
2021-05-28,46949.0,1271262,10.9,5360.0,345396.0,3.0,52309.0,1616658.0
2021-05-29,12262.0,1283524,11.0,1253.0,346649.0,3.0,13515.0,1630173.0
2021-05-30,4754.0,1288278,11.1,616.0,347265.0,3.0,5370.0,1635543.0
2021-05-31,43511.0,1331789,11.5,2829.0,350094.0,3.0,46340.0,1681883.0
2021-06-01,45003.0,1376792,11.8,2913.0,353007.0,3.0,47916.0,1729799.0
2021-06-02,35858.0,1412650,12.2,2146.0,355153.0,3.1,38004.0,1767803.0
2021-06-03,7946.0,1420596,12.2,928.0,356081.0,3.1,8874.0,1776677.0
2021-06-04,23575.0,1444171,12.4,14633.0,370714.0,3.2,38208.0,1814885.0
2021-06-05,6937.0,1451108,12.5,3824.0,374538.0,3.2,10761.0,1825646.0
2021-06-06,3154.0,1454262,12.5,760.0,375298.0,3.2,3914.0,1829560.0
2021-06-07,16571.0,1470833,12.7,32571.0,407869.0,3.5,49142.0,1878702.0
2021-06-08,20104.0,1490937,12.8,41289.0,449158.0,3.9,61393.0,1940095.0
2021-06-09,15035.0,1505972,13.0,28276.0,477434.0,4.1,43311.0,1983406.0
2021-06-10,10254.0,1516226,13.0,19140.0,496574.0,4.3,29394.0,2012800.0
2021-06-11,22203.0,1538429,13.2,22660.0,519234.0,4.5,44863.0,2057663.0
2021-06-12,4159.0,1542588,13.3,3369.0,522603.0,4.5,7528.0,2065191.0
2021-06-13,2142.0,1544730,13.3,2296.0,524899.0,4.5,4438.0,2069629.0
2021-06-14,11990.0,1556720,13.4,10772.0,535671.0,4.6,22762.0,2092391.0
2021-06-15,15631.0,1572351,13.5,9200.0,544871.0,4.7,24831.0,2117222.0
2021-06-16,22138.0,1594489,13.7,11728.0,556599.0,4.8,33866.0,2151088.0
2021-06-17,21025.0,1615514,13.9,9339.0,565938.0,4.9,30364.0,2181452.0
2021-06-18,18767.0,1634281,14.1,11262.0,577200.0,5.0,30029.0,2211481.0
2021-06-19,5245.0,1639526,14.1,5204.0,582404.0,5.0,10449.0,2221930.0
2021-06-20,4344.0,1643870,14.1,1693.0,584097.0,5.0,6037.0,2227967.0
2021-06-21,1419.0,1645289,14.2,2455.0,586552.0,5.0,3874.0,2231841.0
2021-06-22,13300.0,1658589,14.3,22640.0,609192.0,5.2,35940.0,2267781.0
2021-06-23,25593.0,1684182,14.5,22672.0,631864.0,5.4,48265.0,2316046.0
2021-06-24,38977.0,1723159,14.8,9487.0,641351.0,5.5,48464.0,2364510.0
2021-06-25,43836.0,1766995,15.2,14217.0,655568.0,5.6,58053.0,2422563.0
2021-06-26,11287.0,1778282,15.3,3810.0,659378.0,5.7,15097.0,2437660.0
2021-06-27,9946.0,1788228,15.4,2904.0,662282.0,5.7,12850.0,2450510.0
2021-06-28,34882.0,1823110,15.7,14243.0,676525.0,5.8,49125.0,2499635.0
2021-06-29,34641.0,1857751,16.0,15127.0,691652.0,6.0,49768.0,2549403.0
2021-06-30,27562.0,1885313,16.2,13870.0,705522.0,6.1,41432.0,2590835.0
2021-07-01,41904.0,1927217,16.6,14805.0,720327.0,6.2,56709.0,2647544.0
2021-07-02,60551.0,1987768,17.1,12854.0,733181.0,6.3,73405.0,2720949.0
2021-07-03,15223.0,2002991,17.2,2740.0,735921.0,6.3,17963.0,2738912.0
2021-07-04,21463.0,2024454,17.4,2619.0,738540.0,6.4,24082.0,2762994.0
2021-07-05,37672.0,2062126,17.7,7246.0,745786.0,6.4,44918.0,2807912.0
2021-07-06,75994.0,2138120,18.4,10112.0,755898.0,6.5,86106.0,2894018.0
2021-07-07,66179.0,2204299,19.0,13839.0,769737.0,6.6,80018.0,2974036.0
2021-07-08,45267.0,2249566,19.4,12499.0,782236.0,6.7,57766.0,3031802.0
2021-07-09,40366.0,2289932,19.7,8436.0,790672.0,6.8,48802.0,3080604.0
2021-07-10,14143.0,2304075,19.8,2171.0,792843.0,6.8,16314.0,3096918.0
2021-07-11,17156.0,2321231,20.0,3447.0,796290.0,6.9,20603.0,3117521.0
2021-07-12,52335.0,2373566,20.4,12389.0,808679.0,7.0,64724.0,3182245.0
2021-07-13,55799.0,2429365,20.9,12712.0,821391.0,7.1,68511.0,3250756.0
2021-07-14,52347.0,2481712,21.4,15678.0,837069.0,7.2,68025.0,3318781.0
2021-07-15,46349.0,2528061,21.8,30189.0,867258.0,7.5,76538.0,3395319.0
2021-07-16,33603.0,2561664,22.0,35514.0,902772.0,7.8,69117.0,3464436.0
2021-07-17,12619.0,2574283,22.2,14716.0,917488.0,7.9,27335.0,3491771.0
2021-07-18,24708.0,2598991,22.4,11741.0,929229.0,8.0,36449.0,3528220.0
2021-07-19,39927.0,2638918,22.7,51059.0,980288.0,8.4,90986.0,3619206.0
2021-07-20,37244.0,2676162,23.0,50597.0,1030885.0,8.9,87841.0,3707047.0
2021-07-21,36839.0,2713001,23.3,52130.0,1083015.0,9.3,88969.0,3796016.0
2021-07-22,29826.0,2742827,23.6,61916.0,1144931.0,9.9,91742.0,3887758.0
2021-07-23,27003.0,2769830,23.8,69759.0,1214690.0,10.5,96762.0,3984520.0
2021-07-24,8826.0,2778656,23.9,21344.0,1236034.0,10.6,30170.0,4014690.0
2021-07-25,9479.0,2788135,24.0,27603.0,1263637.0,10.9,37082.0,4051772.0
2021-07-26,22600.0,2810735,24.2,77184.0,1340821.0,11.5,99784.0,4151556.0
2021-07-27,24001.0,2834736,24.4,84730.0,1425551.0,12.3,108731.0,4260287.0
2021-07-28,16595.0,2851331,24.5,77145.0,1502696.0,12.9,93740.0,4354027.0
2021-07-29,11965.0,2863296,24.6,60962.0,1563658.0,13.5,72927.0,4426954.0
2021-07-30,10988.0,2874284,24.7,49952.0,1613610.0,13.9,60940.0,4487894.0
2021-07-31,3781.0,2878065,24.8,13784.0,1627394.0,14.0,17565.0,4505459.0
2021-08-01,3374.0,2881439,24.8,17344.0,1644738.0,14.2,20718.0,4526177.0
2021-08-02,12241.0,2893680,24.9,47158.0,1691896.0,14.6,59399.0,4585576.0
2021-08-03,10245.0,2903925,25.0,35158.0,1727054.0,14.9,45403.0,4630979.0
2021-08-05,19904.0,2923829,25.2,59300.0,1786354.0,15.4,79204.0,4710183.0
2021-08-06,570.0,2924399,25.2,3380.0,1789734.0,15.4,3950.0,4714133.0
2021-08-07,1872.0,2926271,25.2,8090.0,1797824.0,15.5,9962.0,4724095.0
2021-08-08,2789.0,2929060,25.2,8607.0,1806431.0,15.5,11396.0,4735491.0
2021-08-09,10817.0,2939877,25.3,33236.0,1839667.0,15.8,44053.0,4779544.0
2021-08-10,9279.0,2949156,25.4,35978.0,1875645.0,16.1,45257.0,4824801.0
2021-08-11,8038.0,2957194,25.4,46260.0,1921905.0,16.5,54298.0,4879099.0
2021-08-12,8240.0,2965434,25.5,54700.0,1976605.0,17.0,62940.0,4942039.0
2021-08-13,12367.0,2977801,25.6,50531.0,2027136.0,17.4,62898.0,5004937.0
2021-08-14,4997.0,2982798,25.7,10947.0,2038083.0,17.5,15944.0,5020881.0
2021-08-15,6673.0,2989471,25.7,8479.0,2046562.0,17.6,15152.0,5036033.0
2021-08-16,11510.0,3000981,25.8,48763.0,2095325.0,18.0,60273.0,5096306.0
2021-08-17,11456.0,3012437,25.9,46491.0,2141816.0,18.4,57947.0,5154253.0
2021-08-18,11207.0,3023644,26.0,50344.0,2192160.0,18.9,61551.0,5215804.0
2021-08-19,9872.0,3033516,26.1,44787.0,2236947.0,19.3,54659.0,5270463.0
2021-08-20,10495.0,3044011,26.2,38753.0,2275700.0,19.6,49248.0,5319711.0
2021-08-21,3617.0,3047628,26.2,7297.0,2282997.0,19.6,10914.0,5330625.0
2021-08-22,3926.0,3051554,26.3,6392.0,2289389.0,19.7,10318.0,5340943.0
2021-08-23,9850.0,3061404,26.3,38839.0,2328228.0,20.0,48689.0,5389632.0
2021-08-24,17598.0,3079002,26.5,73539.0,2401767.0,20.7,91137.0,5480769.0
2021-08-25,15425.0,3094427,26.6,78733.0,2480500.0,21.3,94158.0,5574927.0
2021-08-26,57406.0,3151833,27.1,42444.0,2522944.0,21.7,99850.0,5674777.0
2021-08-27,20788.0,3172621,27.3,77405.0,2600349.0,22.4,98193.0,5772970.0
2021-08-28,12876.0,3185497,27.4,26842.0,2627191.0,22.6,39718.0,5812688.0
2021-08-29,13238.0,3198735,27.5,24868.0,2652059.0,22.8,38106.0,5850794.0
2021-08-30,32162.0,3230897,27.8,67176.0,2719235.0,23.4,99338.0,5950132.0
2021-08-31,22416.0,3253313,28.0,47112.0,2766347.0,23.8,69528.0,6019660.0
2021-09-01,8063.0,3261376,28.1,29933.0,2796280.0,24.1,37996.0,6057656.0
2021-09-03,11141.0,3272517,28.2,37252.0,2833532.0,24.4,48393.0,6106049.0
2021-09-04,4235.0,3276752,28.2,14156.0,2847688.0,24.5,18391.0,6124440.0
2021-09-05,549.0,3277301,28.2,3175.0,2850863.0,24.5,3724.0,6128164.0
2021-09-06,5021.0,3282322,28.2,20133.0,2870996.0,24.7,25154.0,6153318.0
